1000 MNIST Data size, 25 epochs

Epoch	Accuracy	Loss
1	0.28200000524520874	3.916796922683716
2	0.6129999756813049	1.1950910091400146
3	0.7670000195503235	0.7020361423492432
4	0.8399999737739563	0.4607160687446594
5	0.8960000276565552	0.3002726435661316
6	0.9369999766349792	0.19348008930683136
7	0.9520000219345093	0.14617250859737396
8	0.9649999737739563	0.12029308080673218
9	0.9729999899864197	0.07292630523443222
10	0.9829999804496765	0.05915132537484169
11	0.9829999804496765	0.04279496520757675
12	0.9869999885559082	0.03750337287783623
13	0.9819999933242798	0.05620700865983963
14	0.9890000224113464	0.03544967621564865
15	0.9909999966621399	0.025775622576475143
16	0.9940000176429749	0.02222263254225254
17	0.9890000224113464	0.031410492956638336
18	0.9879999756813049	0.024567710235714912
19	0.9940000176429749	0.025277720764279366
20	0.9950000047683716	0.014896092005074024
21	0.9959999918937683	0.01267709769308567
22	0.9959999918937683	0.01622258499264717
23	0.9929999709129333	0.028392696753144264
24	0.9950000047683716	0.01700248382985592
25	0.9959999918937683	0.021245291456580162

Max Parameter Count: 4443914
